iter	Passed	Remaining
0	1	146
1	2	115
2	3	100
3	5	128
4	6	116
5	6	108
6	7	102
7	8	97
8	9	93
9	9	89
10	10	85
11	11	83
12	12	81
13	13	80
14	13	78
15	14	76
16	15	74
17	15	72
18	16	70
19	17	68
20	17	67
21	18	66
22	19	64
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	58
30	25	57
31	26	56
32	27	55
33	27	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	32	47
41	33	45
42	33	44
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	26
66	53	26
67	53	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	71	7
90	73	7
91	74	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	79	0
99	80	0
