iter	Passed	Remaining
0	137	137323
1	138	69119
2	139	46342
3	140	34955
4	141	28109
5	143	23794
6	144	20522
7	145	18093
8	147	16236
9	148	14740
10	150	13534
11	151	12481
12	152	11583
13	153	10812
14	154	10147
15	155	9558
16	156	9057
17	157	8608
18	158	8207
19	160	7852
20	161	7523
21	162	7236
22	164	6973
23	165	6719
24	166	6499
25	167	6286
26	168	6083
27	169	5890
28	170	5718
29	172	5562
30	173	5429
31	175	5294
32	177	5213
33	179	5091
34	180	4965
35	180	4846
36	181	4731
37	182	4624
38	183	4524
39	185	4445
40	186	4364
41	187	4285
42	189	4211
43	190	4138
44	191	4065
45	192	3992
46	193	3921
47	194	3854
48	195	3791
49	196	3728
50	197	3666
51	197	3608
52	199	3562
53	200	3519
54	203	3492
55	204	3444
56	205	3395
57	206	3350
58	207	3310
59	209	3277
60	211	3251
61	212	3209
62	213	3168
63	214	3143
64	216	3111
65	217	3078
66	218	3045
67	219	3014
68	220	2979
69	221	2946
70	222	2912
71	223	2879
72	224	2848
73	225	2818
74	226	2794
75	227	2768
76	229	2748
77	230	2726
78	232	2705
79	233	2687
80	234	2662
81	235	2637
82	236	2608
83	236	2584
84	238	2563
85	239	2542
86	240	2521
87	241	2499
88	242	2485
89	244	2473
90	245	2454
91	246	2435
92	247	2416
93	249	2401
94	250	2386
95	251	2369
96	252	2350
97	253	2332
98	254	2314
99	255	2296
100	257	2288
101	258	2275
102	260	2267
103	262	2257
104	263	2242
105	263	2225
106	264	2209
107	265	2194
108	266	2180
109	267	2166
110	268	2152
111	269	2138
112	270	2123
113	271	2112
114	273	2107
115	275	2095
116	275	2082
117	276	2069
118	277	2055
119	278	2042
120	279	2029
121	280	2015
122	281	2007
123	282	1998
124	283	1987
125	284	1976
126	285	1964
127	287	1958
128	289	1951
129	290	1941
130	291	1931
131	292	1922
132	293	1912
133	294	1904
134	306	1961
135	308	1962
136	310	1955
137	312	1952
138	319	1976
139	320	1969
140	322	1962
141	323	1951
142	327	1961
143	328	1952
144	329	1944
145	331	1936
146	333	1935
147	334	1927
148	335	1917
149	336	1908
150	338	1905
151	340	1898
152	341	1889
153	342	1880
154	343	1871
155	344	1862
156	345	1853
157	346	1844
158	347	1839
159	349	1832
160	350	1827
161	352	1822
162	353	1815
163	354	1808
164	356	1802
165	357	1796
166	358	1790
167	359	1782
168	361	1775
169	363	1774
170	365	1769
171	366	1764
172	367	1757
173	368	1750
174	369	1743
175	370	1735
176	371	1727
177	372	1719
178	373	1712
179	374	1706
180	375	1699
181	377	1694
182	378	1690
183	380	1685
184	381	1678
185	381	1671
186	382	1664
187	383	1657
188	384	1650
189	385	1643
190	386	1637
191	387	1631
192	388	1625
193	390	1621
194	391	1617
195	393	1615
196	394	1609
197	395	1603
198	397	1598
199	398	1593
200	399	1588
201	400	1583
202	402	1579
203	403	1573
204	404	1566
205	405	1561
206	407	1559
207	408	1557
208	409	1551
209	410	1545
210	411	1539
211	412	1533
212	413	1527
213	414	1522
214	415	1516
215	416	1511
216	417	1505
217	418	1500
218	419	1494
219	419	1488
220	422	1489
221	424	1488
222	425	1483
223	427	1480
224	428	1475
225	429	1471
226	430	1466
227	431	1460
228	432	1455
229	433	1449
230	433	1444
231	434	1439
232	438	1443
233	439	1439
234	441	1436
